account_id,customer_name,segment,industry,contract_value,plan_type,activation_date,renewal_date,account_owner,customer_success_owner,executive_sponsor,key_stakeholder_role,health_status,usage_trend,product_adoption_score,active_users,licensed_users,support_tickets_open,critical_tickets_open,nps_score,last_business_review_date,last_customer_touchpoint_date,stakeholder_change,payment_status,product_gap,expansion_signal,renewal_risk_signal,churn_risk_signal,reference_potential,case_study_potential,next_step,notes
A001,Northstar Analytics,Mid-market,Data tooling,84000,Growth,2025-09-12,2026-06-15,Maya Rao,Ivan Chen,Lena Ortiz,VP Operations,Healthy,growing,88,82,95,1,0,62,2026-03-20,2026-05-03,none,current,none,more seats requested,expansion potential,none,high,high,Schedule expansion discovery with VP Operations,Synthetic account with strong adoption and expansion signal
A002,Beacon Clinic Group,Enterprise,Healthcare,128000,Enterprise,2025-08-04,2026-05-28,Noah Brooks,Amara Hill,Samir Patel,Chief Administrative Officer,Watch,declining,54,41,110,6,1,18,2026-01-18,2026-04-11,buyer changed,current,reporting gap,none,unclear value proof,usage concern,medium,low,Run renewal value proof review,Synthetic high-value account with renewal risk
A003,Atlas Freight Works,Strategic,Logistics,152000,Enterprise,2025-06-21,2026-07-10,Leah Kim,Jordan Miles,Ari Sinha,COO,At risk,declining,47,36,120,8,2,5,2025-12-12,2026-04-02,champion left,current,repeated product gap,none,renewal risk,churn risk,low,none,Founder call with COO and new champion,Synthetic high-value churn risk scenario
A004,Clearwater Finance,Mid-market,Fintech,68000,Professional,2025-11-05,2026-10-30,Dev Patel,Nora Shah,Alicia Reed,Head of Finance,Healthy,stable,79,52,70,2,0,44,2026-04-10,2026-05-01,none,current,minor workflow gap,mild interest,no risk,none,medium,medium,Confirm value proof and monitor renewal,Synthetic stable account to monitor
A005,Juniper Learning,Startup,Education,32000,Team,2026-01-15,2026-12-20,Owen Stone,Tara Iyer,,Director of Learning,Watch,spiky,61,18,45,3,0,32,2026-02-20,2026-04-30,new champion,current,none,new team interested,no risk,watch,medium,medium,Map new department use case,Synthetic expansion candidate with new champion
A006,Halcyon Robotics,Enterprise,Manufacturing,96000,Enterprise,2025-07-30,2026-06-05,Mina Park,Chris Nolan,Elena Cruz,VP Manufacturing,Critical,inactive,22,12,80,9,3,-12,2025-11-08,2026-03-19,executive sponsor left,overdue,critical missing feature,none,churn risk,cancellation threat,none,none,Founder intervention and save plan,Synthetic critical retention risk
A007,Summit Legal Ops,Mid-market,Legal services,54000,Professional,2025-10-02,2026-09-15,Ravi Menon,Priya Desai,Kim Foster,Managing Partner,Healthy,growing,84,36,42,0,0,58,2026-04-18,2026-05-06,none,current,none,product-led expansion signal,expansion potential,none,high,medium,Confirm expansion trigger and proof angle,Synthetic healthy customer with product-led expansion
A008,Evergreen Energy Labs,Strategic,Energy,175000,Enterprise,2025-05-18,2026-08-01,Grace Lee,Omar Nasser,Shubham Singh,Chief Digital Officer,Watch,stable,72,64,125,5,1,21,2026-02-05,2026-04-24,procurement changed,invoice pending,integration gap,champion asks roadmap,watch,watch,medium,low,Product and procurement alignment call,Synthetic strategic account with mixed signals
A009,Quartz Retail Systems,Mid-market,Retail,47000,Professional,2025-12-12,2026-06-25,Dylan Fox,Anika Mehta,Olivia Ray,VP Revenue,At risk,low,43,20,60,4,0,8,2026-01-22,2026-04-01,none,current,none,none,unclear value proof,usage concern,low,none,Run adoption recovery plan,Synthetic low adoption despite activation
A010,Redwood BioWorks,Enterprise,Biotech,118000,Enterprise,2025-09-25,2026-11-15,Mei Lin,Arjun Sethi,Rachel Adams,Head of Clinical Ops,Healthy,growing,91,76,82,1,0,71,2026-04-12,2026-05-05,none,current,none,upsell requested,expansion potential,none,high,high,Prepare upgrade proposal with value proof,Synthetic champion and case study potential
