account_id,customer_name,health_score_drivers,retention_risk_drivers,expansion_score_drivers,founder_attention_drivers,recommended_next_action,score_interpretation
A025,Stonebridge Procurement,Usage trend: declining; Adoption score: 31; Active user ratio: 0.2095; Critical tickets: 2; Payment status: payment failed,churn risk; cancellation threat; executive sponsor left; repeated product gap; Stale business review,Health too low for expansion; Retention risk blocks expansion,Founder intervention now; High-value account; Critical retention risk,Founder should contact the executive sponsor and reset the retention plan.,Health 26 means Critical. Retention risk 95 means Critical. Expansion 24 means Do not expand. Founder attention 88 means Founder intervention now.
A006,Halcyon Robotics,Usage trend: inactive; Adoption score: 22; Active user ratio: 0.15; Critical tickets: 3; Payment status: overdue,Renewal in 28 days; churn risk; cancellation threat; executive sponsor left; critical missing feature,Health too low for expansion; Retention risk blocks expansion,Founder intervention now; High-value account; Critical retention risk,Founder should contact the executive sponsor and reset the retention plan.,Health 19 means Critical. Retention risk 95 means Critical. Expansion 19 means Do not expand. Founder attention 88 means Founder intervention now.
A003,Atlas Freight Works,Usage trend: declining; Adoption score: 47; Active user ratio: 0.3; Critical tickets: 2,Renewal in 63 days; renewal risk; churn risk; champion left; repeated product gap,Health too low for expansion; Retention risk blocks expansion,Founder intervention now; High-value account; Critical retention risk,Founder should contact the executive sponsor and reset the retention plan.,Health 38 means Critical. Retention risk 85 means Critical. Expansion 30 means Do not expand. Founder attention 88 means Founder intervention now.
A012,Silverline Insurance,Usage trend: declining; Adoption score: 49; Active user ratio: 0.3214; Critical tickets: 2,Renewal in 12 days; renewal risk; competitive evaluation; buyer changed; compliance blocker,Health too low for expansion; Retention risk blocks expansion,Executive review this week; High-value account; Critical retention risk,"Create a save plan with owner, customer sponsor, risk driver, and due date.",Health 37 means Critical. Retention risk 85 means Critical. Expansion 30 means Do not expand. Founder attention 82 means Executive review this week.
A002,Beacon Clinic Group,Usage trend: declining; Adoption score: 54; Active user ratio: 0.3727; Critical tickets: 1,Renewal in 20 days; unclear value proof; usage concern; buyer changed; reporting gap,Health too low for expansion; Retention risk blocks expansion,Executive review this week; High-value account; At risk retention risk,Run renewal value proof review and confirm renewal owner.,Health 51 means At risk. Retention risk 78 means At risk. Expansion 30 means Do not expand. Founder attention 82 means Executive review this week.
A019,Orchid Payments,Critical tickets: 1; Payment status: unpaid,Renewal in 17 days; budget concern; budget concern; reporting gap,Health too low for expansion; Retention risk blocks expansion,Executive review this week; High-value account; At risk retention risk,Run renewal value proof review and confirm renewal owner.,Health 56 means At risk. Retention risk 78 means At risk. Expansion 30 means Do not expand. Founder attention 82 means Executive review this week.
A001,Northstar Analytics,"Healthy usage, adoption, support, and payment signals",Renewal in 38 days; expansion potential,more seats requested; Strong product adoption,High-value account; Expansion-ready; Customer proof opportunity,Seat expansion discovery with account owner and CS.,Health 85 means Healthy. Retention risk 20 means Low risk. Expansion 87 means Expansion-ready. Founder attention 62 means Owner follow-up.
A021,Terrace Construction Tech,Usage trend: low; Adoption score: 39; Active user ratio: 0.2533; Critical tickets: 1,Renewal in 58 days; renewal risk; usage concern; champion left; mobile gap,Health too low for expansion; Retention risk blocks expansion,Critical retention risk,"Create a save plan with owner, customer sponsor, risk driver, and due date.",Health 46 means At risk. Retention risk 85 means Critical. Expansion 30 means Do not expand. Founder attention 61 means Owner follow-up.
A016,Marigold Marketplace,Usage trend: declining; Adoption score: 58; Active user ratio: 0.4429,Renewal in 41 days; unclear value proof; usage concern; new evaluator,Retention risk blocks expansion,At risk retention risk,Run renewal value proof review and confirm renewal owner.,Health 60 means Watch. Retention risk 78 means At risk. Expansion 30 means Do not expand. Founder attention 59 means Owner follow-up.
A017,Pioneer Data Co,"Healthy usage, adoption, support, and payment signals",expansion potential,upsell requested; Strong product adoption,High-value account; Expansion-ready; Customer proof opportunity,Package upgrade proposal with success proof.,Health 87 means Healthy. Retention risk 14 means Low risk. Expansion 89 means Expansion-ready. Founder attention 56 means Owner follow-up.
