account_id,customer_name,reference_potential,case_study_potential,proof_angle,owner,next_step
A017,Pioneer Data Co,high,high,Case study on retained value in Data services.,Vikram Rao,Confirm value proof and request reference or case study approval.
A010,Redwood BioWorks,high,high,Case study on retained value in Biotech.,Arjun Sethi,Confirm value proof and request reference or case study approval.
A022,Helio AI Studio,high,high,Case study on retained value in AI software.,Tess Morgan,Confirm value proof and request reference or case study approval.
A001,Northstar Analytics,high,high,Case study on retained value in Data tooling.,Ivan Chen,Confirm value proof and request reference or case study approval.
A020,Maple Support Cloud,high,medium,Reference for Startup customers.,Aria Patel,Confirm value proof and request reference or case study approval.
A007,Summit Legal Ops,high,medium,Reference for Mid-market customers.,Priya Desai,Confirm value proof and request reference or case study approval.
A024,Willow Health Tech,high,medium,Reference for Mid-market customers.,Meera Joshi,Confirm value proof and request reference or case study approval.
A013,BluePeak Manufacturing,medium,medium,Expansion story with usage growth proof.,Farah Khan,Confirm value proof and request reference or case study approval.
A004,Clearwater Finance,medium,medium,Customer proof after next value review.,Nora Shah,Confirm value proof and request reference or case study approval.
A023,Granite Wealth Partners,medium,low,Customer proof after next value review.,Peter Nolan,Confirm value proof and request reference or case study approval.
A014,Acorn Accounting Group,low,low,Customer proof after next value review.,Jon Bell,Confirm value proof and request reference or case study approval.
A005,Juniper Learning,medium,medium,Customer proof after next value review.,Tara Iyer,Confirm value proof and request reference or case study approval.
A011,Harbor HR Cloud,medium,low,Customer proof after next value review.,Neil Kapoor,Confirm value proof and request reference or case study approval.
