driver,count,affected_accounts,estimated_revenue_at_risk,suggested_fix,owner_role
Product gap,12,Beacon Clinic Group; Atlas Freight Works; Halcyon Robotics; Evergreen Energy Labs; Harbor HR Cloud; Silverline Insurance; Cedar Security; Riverbend Logistics; plus 4 more,1292000,"Create a product gap response with scope, owner, and customer message.",Product Lead
Critical support tickets,9,Beacon Clinic Group; Atlas Freight Works; Halcyon Robotics; Evergreen Energy Labs; Silverline Insurance; Cedar Security; Orchid Payments; Terrace Construction Tech; plus 1 more,1106000,Escalate critical tickets with owner and customer-facing timeline.,Support Lead
Stakeholder change,8,Beacon Clinic Group; Atlas Freight Works; Halcyon Robotics; Evergreen Energy Labs; Silverline Insurance; Terrace Construction Tech; Granite Wealth Partners; Stonebridge Procurement,956000,Rebuild stakeholder map and confirm executive sponsor.,Account Owner
Churn risk signal,9,Beacon Clinic Group; Atlas Freight Works; Halcyon Robotics; Quartz Retail Systems; Silverline Insurance; Marigold Marketplace; Orchid Payments; Terrace Construction Tech; plus 1 more,915000,Open save plan with commercial and product owner.,Customer Success
Stale touchpoint,9,Beacon Clinic Group; Atlas Freight Works; Halcyon Robotics; Quartz Retail Systems; Silverline Insurance; Marigold Marketplace; Riverbend Logistics; Terrace Construction Tech; plus 1 more,846000,Set customer touchpoint SLA and review stale accounts weekly.,Customer Success
Low active user ratio,9,Beacon Clinic Group; Atlas Freight Works; Juniper Learning; Halcyon Robotics; Quartz Retail Systems; Silverline Insurance; Marigold Marketplace; Terrace Construction Tech; plus 1 more,826000,Map inactive licensed users and run enablement push.,Customer Success
Support ticket load,7,Beacon Clinic Group; Atlas Freight Works; Halcyon Robotics; Silverline Insurance; Cedar Security; Terrace Construction Tech; Stonebridge Procurement,810000,Prioritize support closure by renewal and customer value.,Support Lead
Declining usage,8,Beacon Clinic Group; Atlas Freight Works; Halcyon Robotics; Quartz Retail Systems; Silverline Insurance; Marigold Marketplace; Terrace Construction Tech; Stonebridge Procurement,794000,Run adoption recovery plan with customer success owner.,Customer Success
Renewal value proof unclear,8,Beacon Clinic Group; Atlas Freight Works; Halcyon Robotics; Quartz Retail Systems; Silverline Insurance; Marigold Marketplace; Terrace Construction Tech; Stonebridge Procurement,794000,Run renewal value proof review and document outcomes.,Customer Success
Low product adoption,7,Beacon Clinic Group; Atlas Freight Works; Halcyon Robotics; Quartz Retail Systems; Silverline Insurance; Terrace Construction Tech; Stonebridge Procurement,723000,Identify unused value drivers and rebuild success plan.,Customer Success
Stale business review,6,Atlas Freight Works; Halcyon Robotics; Silverline Insurance; Riverbend Logistics; Terrace Construction Tech; Stonebridge Procurement,600000,Schedule business review and confirm value proof.,Customer Success
Payment issue,4,Halcyon Robotics; Silverline Insurance; Orchid Payments; Stonebridge Procurement,458000,Resolve billing path before renewal conversation.,Finance or RevOps
