priority_rank,account_id,customer_name,contract_value,risk_or_opportunity,reason,founder_action,owner,due_timing,escalation_note
1,A025,Stonebridge Procurement,99000.0,Retention risk,High-value account; Critical retention risk; Critical customer health; cancellation threat; churn risk,Founder or executive sponsor call to reset value and renewal path.,Rohan Mehta,Today,Do not wait for the next weekly review.
2,A006,Halcyon Robotics,96000.0,Retention risk,High-value account; Critical retention risk; Critical customer health; Renewal in 28 days; cancellation threat,Founder or executive sponsor call to reset value and renewal path.,Chris Nolan,Today,Do not wait for the next weekly review.
3,A003,Atlas Freight Works,152000.0,Retention risk,High-value account; Critical retention risk; Critical customer health; Renewal in 63 days; churn risk,Founder or executive sponsor call to reset value and renewal path.,Jordan Miles,Today,Do not wait for the next weekly review.
4,A012,Silverline Insurance,142000.0,Retention risk,High-value account; Critical retention risk; Critical customer health; Renewal in 12 days; competitive evaluation,Founder or executive sponsor call to reset value and renewal path.,Marcus King,This week,Needs a named save plan and customer-facing owner.
5,A002,Beacon Clinic Group,128000.0,Retention risk,High-value account; At risk retention risk; At risk customer health; Renewal in 20 days; usage concern,Review customer health and assign the highest leverage owner action.,Amara Hill,This week,Review in weekly retention and expansion operating review.
6,A019,Orchid Payments,121000.0,Retention risk,High-value account; At risk retention risk; At risk customer health; Renewal in 17 days; budget concern,Review customer health and assign the highest leverage owner action.,Rina Joseph,This week,Review in weekly retention and expansion operating review.
7,A001,Northstar Analytics,84000.0,Expansion opportunity,High-value account; Renewal in 38 days; expansion potential; Expansion-ready,Review expansion motion and approve customer-facing ask.,Ivan Chen,Next 3 business days,Confirm expansion timing before making a commercial ask.
8,A021,Terrace Construction Tech,59000.0,Retention risk,Critical retention risk; At risk customer health; Renewal in 58 days; usage concern; renewal risk,Founder or executive sponsor call to reset value and renewal path.,Kavya Nair,Next 3 business days,Needs a named save plan and customer-facing owner.
9,A016,Marigold Marketplace,71000.0,Retention risk,At risk retention risk; Renewal in 41 days; usage concern; unclear value proof; new evaluator,Review customer health and assign the highest leverage owner action.,Sam Lee,Next 3 business days,Review in weekly retention and expansion operating review.
10,A017,Pioneer Data Co,165000.0,Expansion opportunity,High-value account; expansion potential; Expansion-ready,Review expansion motion and approve customer-facing ask.,Vikram Rao,Next 3 business days,Confirm expansion timing before making a commercial ask.
11,A009,Quartz Retail Systems,47000.0,Retention risk,At risk retention risk; At risk customer health; Renewal in 48 days; usage concern; unclear value proof,Review customer health and assign the highest leverage owner action.,Anika Mehta,Next 3 business days,Review in weekly retention and expansion operating review.
12,A023,Granite Wealth Partners,105000.0,Expansion opportunity,High-value account; Renewal in 53 days; watch; watch; reporting gap,Review customer health and assign the highest leverage owner action.,Peter Nolan,Next 3 business days,Review in weekly retention and expansion operating review.
13,A024,Willow Health Tech,76000.0,Expansion opportunity,High-value account; Expansion-ready,Review expansion motion and approve customer-facing ask.,Meera Joshi,Next 3 business days,Confirm expansion timing before making a commercial ask.
14,A010,Redwood BioWorks,118000.0,Expansion opportunity,High-value account; expansion potential; Expansion-ready,Review expansion motion and approve customer-facing ask.,Arjun Sethi,Next 3 business days,Confirm expansion timing before making a commercial ask.
15,A008,Evergreen Energy Labs,175000.0,Expansion opportunity,High-value account; Renewal in 85 days; watch; watch; integration gap,Review customer health and assign the highest leverage owner action.,Omar Nasser,Next 3 business days,Review in weekly retention and expansion operating review.
16,A015,Cedar Security,134000.0,Expansion opportunity,High-value account; watch; watch; data export gap,Review customer health and assign the highest leverage owner action.,Nadia Singh,Next 3 business days,Review in weekly retention and expansion operating review.
17,A013,BluePeak Manufacturing,62000.0,Expansion opportunity,Renewal in 75 days; Expansion-ready,Review expansion motion and approve customer-facing ask.,Farah Khan,Next 3 business days,Confirm expansion timing before making a commercial ask.
